id,name,country,position(s)
23,buergenthal,us,0
110,ranjeva,mg,0
79,kooijmans,nl,0
46,elaraby,eg,0
148,vereshchetin,ru,0
115,rezek,br,0
126,shi,cn,0
5,al-khasawneh,jo,0
127,simma,de,0
106,parra-aranguren,ve,0
65,guillaume,fr,2
68,higgins,gb,0
81,koroma,sl,0
142,tomka,sk,0
103,owada,jp,0
116,rigaux,be,1
19,bennouna,ma,2
1,abraham,fr,0
61,greenwood,gb,0
75,keith,nz,0
157,yusuf,so,2
129,skotnikov,ru,0
123,sepúlveda-amor,mx,2
27,cançado trindade,br,0
28,carneiro,br,0
12,badawi,eg,0
14,basdevant,fr,0
8,alvarez,cl,0
10,armand-ugon,uy,2
63,guerrero,sv,0
93,mcnair,gb,0
159,zoričić,yu,0
155,winiarski,pl,0
112,rau,in,0
66,hackworth,us,0
69,hsu mo,cn,0
77,klaestad,no,0
113,read,ca,0
132,spiropoulos,gr,2
153,weeramantry,lk,2
54,fleischhauer,de,2
67,herczegh,hu,0
121,schwebel,us,0
100,oda,jp,0
125,shahabuddeen,gy,0
51,ferrari bravo,it,0
17,bedjaoui,dz,2
104,oxman,us,1
34,cot,fr,1
39,de visscher,be,0
120,sandjabi,ir,1
150,vinuesa,ar,1
143,torres bernárdez,es,1
83,krylov,su,0
26,caicedo castilla,co,1
6,alayza y paz soldan,pe,1
49,fabela,mx,0
11,azevedo,br,0
41,donoghue,us,0
156,xue,cn,0
58,gaja,it,2
56,fortier,ca,1
36,daxner,cs,1
114,reddy,in,1
109,pirzada,pk,1
151,vukas,hr,1
118,roucounas,gr,1
55,forster,sn,0
9,ammoun,lb,0
138,tanaka,jp,0
18,bengzon,ph,0
84,lachs,pl,0
105,padilla nervo,mx,0
53,fitzmaurice,gb,0
72,jessup,us,0
80,koretsky,su,0
102,onyeama,ng,0
108,petrén,se,0
25,bustamante y rivero,pe,0
95,morelli,it,2
62,gros,fr,0
117,riphagen,nl,1
2,ago,it,2
71,jennings,gb,2
128,singh,in,2
98,mosler,de,2
44,el-khani,sy,0
47,elias,ng,0
124,sette-camara,br,2
119,ruda,ar,0
92,mbaye,sn,2
97,morozov,su,0
38,de lacharriere,fr,0
78,kojevnikov,su,0
86,lauterpacht,gb,2
96,moreno quintana,ar,0
158,zafrulla khan,pk,0
33,cordova,mx,0
154,wellington koo,cn,0
131,spender,au,0
29,carry,ch,1
160,zourek,cs,1
60,goitein,il,1
43,el-erian,eg,0
140,tarazi,sy,0
152,waldock,gb,0
15,baxter,us,0
137,sørensen,dk,1
145,valticos,gr,1
48,evensen,no,2
73,jimenez de aréchaga,uy,2
37,de castro,es,0
40,dillard,us,0
70,ignacio-pinto,bj,0
31,cohen,ca,1
3,aguilar-mawdsley,ve,0
139,tarasov,ru,0
99,ni,cn,0
4,ajibola,ng,2
52,fischer,dk,1
0,abi-saab,eg,1
87,luchaire,fr,1
133,stassinopoulos,gr,1
13,barwick,au,1
88,mahiou,dz,1
89,mampuya,cd,1
22,boni,ci,1
122,sebutinde,ug,0
94,mensah,gh,1
59,garcia bauer,gt,1
64,guggenheim,ch,1
7,alfaro,pa,0
85,lalonde,ca,1
76,kirsch,be,1
136,sur,fr,1
144,urrutia holguín,co,1
107,pathak,in,0
130,skubiszewski,pl,1
134,stephen,au,1
141,thierry,fr,1
21,bhandari,in,0
35,daudet,fr,1
16,beb à don,cm,1
91,mbanefo,ng,1
147,van wyk,za,1
82,kreća,rs,1
32,colliard,fr,1
30,chagla,in,1
50,fernandes,pt,1
135,sterzel,se,1
101,offerhaus,nl,1
149,verhoeven,be,1
74,kateka,tz,1
24,bula-bula,cd,1
146,van den wyngaert,be,1
90,mavungu,cd,1
42,dugard,za,1
57,franck,us,1
45,el-kosheri,eg,1
111,rao,in,1
20,berman,gb,1
